date,rating,role,location,title,body,pros,cons,work_life_balance,pay_and_benefits,job_security,management,culture
2025년 1월 29일,5,Specialist (전 직원),"Elmhurst, NY",Apple Specialist,"A typical day at work as an Apple Retail Specialist involves helping customers find the right products, troubleshooting issues, and creating an exceptional shopping experience. I engage in conversations to understand their needs while showcasing Apple’s ecosystem.

I’ve learned valuable communication, sales, and technical skills, along with deep product knowledge and problem-solving abilities.

Management is extremly supportive and encourages growth and teamwork, though expectations for performance and adaptability are high.

The workplace culture is fast-paced, inclusive, and collaborative, with a strong focus on customer satisfaction and innovation.

The hardest part of the job is handling the high customer volume, meeting expectations under pressure, and managing difficult interactions.

The most enjoyable part is helping people find solutions, being part of a passionate team, and staying up to date with cutting-edge technology.",,,,,,,
2025년 1월 29일,2,Technical Support Representative (전 직원),Remote,Stressful,Depending on your surveys is the way to keep the job . No empathy for their employees.. i can say growth opportunities are okay .. but the job in all is stressful asf,Support from managers,"A few psycho, self-entitled customers - no more than 10% of all the customers.",,,,,
2025년 1월 29일,2,Technical Support Representative (전 직원),Remote,Stressful,Depending on your surveys is the way to keep the job . No empathy for their employees.. i can say growth opportunities are okay .. but the job in all is stressful asf,,,,,,,
2025년 1월 29일,2,Tier 2 Advisor (현 직원),Home based,No What it Used to Be,"Not a bad job but if you're an at home advisor, there are no longer opportunities for advancement unless you move onsite. Decent job and pay overall.",,,,,,,
2025년 1월 28일,5,At Home Advisor (전 직원),Georgia,Great college experience,"Great training and feedback to on-ramp new employees. Transparent compensation, although little opportunity for overtime. Strong team environment for flexible scheduling and assistance.",,,,,,,
2025년 1월 27일,4,Apple Maps QA (전 직원),"Cupertino, CA",great people,"the best thing at Apple was the great people you work with, the company does an effort to hire great personalities that will get a long together. great support from the team and management, but i expected better software tools for the job since it is Apple and all",,,,,,,
2025년 1월 26일,4,Business Analyst (전 직원),"New York, NY",Great work,"Very supportive and great company to work for.
Received appreciation and great work atmosphere
Great work life balance
Time paid off, health insurance",,,,,,,
2025년 1월 26일,4,Specialist (전 직원),"Kansas City, MO",Engaging job,"Typically enjoyable. Occasionally customers were inappropriate or enraged and leadership expects you to turn the other cheek. For someone excited about the Apple ecosystem and who doesn’t mind working with customers, it was a fun job for awhile.",,,,,,,
2025년 1월 24일,4,Specialist (현 직원),Canada,Great benefits and people but culture has been shifting,Company offers great benefits and perks but the culture has been shifting in the recent few years and a lot more pressure from management regarding numbers/sales,,,,,,,
2025년 1월 24일,4,Genius (전 직원),,Really great gig if you can stomach the customers,"Great coworkers, mostly solid leadership, plenty of chances to advance (at least at the time I was there). The other workers were usually really down to earth and friendly and always eager to help and mentor you. The only downside is the fact that you have to deal with sometimes extremely rude customers. Most of the time they're friendly to neutral, but every once in a while you get that real stinker of a customer that can ruin your whole week.

Perfect job if it weren't for the customers. And the benefits (especially medical) were absolutely top notch at the time.",Great team and culture,Sometimes AWFUL customers,,,,,
2025년 1월 24일,2,Technical Support Advisor (현 직원),"Austin, TX",Can burnout quick,"The role has good benefits. when you are done with your day that's it, you don't have to think about it afterwards. Campus is good/Cafe is pretty solid.

first promotion for the job is tier 2 which is twice the work for only a 5 percent increase. then you have to pursue ""rotations"" temporary job switches for no change in salary and you have to return to the phones in 6 months. For a customer service rep the upward mobility is terrible. Would only work with if you desperately need a role/not trying to grow something for the future",,,,,,,
2025년 1월 24일,4,Retail Specialist (전 직원),"Manchester, Greater Manchester",Fun Workplace,"Working at Apple Retail was dynamic and rewarding, with a strong focus on customer satisfaction, teamwork, and innovative problem-solving. It provided valuable experience in delivering exceptional service, achieving sales targets, and building lasting customer relationships.",,,,,,,
2025년 1월 23일,4,Sales Specialist (전 직원),"Orlando, FL","Best retail job, not the best job","the pay is really good compared to any other retail job, really hard to grow in the company, people are willing to help you at any part of the process, you have to fight for your spot so you can become permanent",,,,,,,
2025년 1월 23일,3,Specialist (전 직원),"Edinburgh, City of Edinburgh","Great staff, terrible management","Great benefits, good pay, amazing and diverse colleagues, but absolutely awful management. Also becomes incredibly boring after a while having the exact same conversations with customers day after day.",,,,,,,
2025년 1월 22일,1,Customer Support Specialist (전 직원),"Tallahassee, FL",Teaching apples rules needs to be changed! The Job wasn't worth any of the tears of stress!,"What is the best part of working at the company?
The pay but that's about it to be such a big multi billion dollar company their training doesn't reflect that, not at all terrible teaching and learning

What is the most stressful part about working at the company?
Not knowing how ur supposed to do your job correctly half the time u can't get help with a question or find one so your left to guess and hope ur right or the customer could leave bad feedback ext

What is the work environment and culture like at the company?
It was remote at home but I felt the new managers always had to make a name for themselves I was wrote up 2 times the first I still don't know why and the 2ed time I was never even told about it not did I sign anything to acknowledge it

What is a typical day like for you at the company?
Stressful and very on edge I could get 100 percent positive feedback from a customer but a wsst manager will always find the negative in it so where every fricken time",,,,,,,
2025년 1월 22일,4,Project Coordinator (전 직원),Corowa NSW,Can’t fault it,"Overall great place to work, supportive management, benefits are amazing, offices are excellent. Didn’t see a massive amount of career development in my role is the only issue.",,,,,,,
2025년 1월 21일,5,Product Specialist (전 직원),"New York, NY","Best retail to work , But Very completive",The work environment in retail is the best on the market compared to others. Getting positions and getting promoted is very challenging because your already working with best.,,,,,,,
2025년 1월 20일,4,consultant (전 직원),Shanghai,stable environment,Nice environment but limited career path. You have to treat Apple as the best product in the world . The whole company is like a cult.Managers' Obsessive Worship of Steve Jobs,,,,,,,
2025년 1월 19일,5,Product Specialist/Sales (현 직원),"Tukwila, WA",Decent job,"Treated well and Paid well with room to grow
Hours can be shakey sometimes but management is good about communication and making sure you have your needs met",,,,,,,
2025년 1월 19일,4,Senior Technician (현 직원),"Austin, TX",Great pay and benefits,If you want security and to grow put in the time and it will happen. Great benefits and pay. They put the time in a you can tell from the way people help,,,,,,,
2025년 1월 19일,5,Part-time Genius Bar Technical Expert (전 직원),"New York, NY",Very positive,"Great company. Apple is pretty much the same from the inside looking out as it is from the outside looking in. I was very happy there.
For me, this was a semi retirement job. Started in sales, and then managed to move to the genius bar. It was unusual for an older guy, but Apple had no problem with that.",Support from managers,"A few psycho, self-entitled customers - no more than 10% of all the customers.",,,,,
2025년 1월 19일,3,Tier 1 Support (현 직원),AHA,"Dead end workplace, good benefits","If you’re someone who just wants to coast, don’t have many aspirations, are nonchalant, and just need a j-o-b that provides a steady paycheck that kind of covers the basics but offers good health benefits, AppleCare will be a good place for you. Providing phone support for multiple departments to customers who are frequently angry is soul-sucking work but if you can keep your cool the benefits are alright. Don’t kid yourself though, there is ZERO opportunity for career growth or advancement.",,,,,,,
2025년 1월 18일,4,Technical Specialist (전 직원),"Santa Barbara, CA",Not flexible with accommodating school schedules,"A typical day at work felt overly focused on sales metrics rather than customer experience. You’re constantly compared to coworkers, especially in AppleCare sales, and the pressure to mention Apple Intelligence, even in irrelevant situations, is excessive. Management often uses threats of termination for minor issues, like not mentioning business solutions or being late by a minute. Despite having perfect attendance, I was repeatedly called out for minor infractions like clocking back late from lunch. The hardest part of the job is dealing with this micromanagement and sales pressure, especially since there’s no commission. The most enjoyable part was interacting with customers, but the overall culture prioritizes numbers over genuine service, which can feel disheartening.","Pay, discount, clean organized workplace, good people, frequent breaks","Favoritism, unequal opportunities for promotion",,,,,
2025년 1월 18일,4,Technical Specialist (전 직원),"Santa Barbara, CA",Not flexible with accommodating school schedules,"A typical day at work felt overly focused on sales metrics rather than customer experience. You’re constantly compared to coworkers, especially in AppleCare sales, and the pressure to mention Apple Intelligence, even in irrelevant situations, is excessive. Management often uses threats of termination for minor issues, like not mentioning business solutions or being late by a minute. Despite having perfect attendance, I was repeatedly called out for minor infractions like clocking back late from lunch. The hardest part of the job is dealing with this micromanagement and sales pressure, especially since there’s no commission. The most enjoyable part was interacting with customers, but the overall culture prioritizes numbers over genuine service, which can feel disheartening.",Customer service and tech support,Management,,,,,
2025년 1월 18일,5,Assembly Operator (전 직원),"Cork, Ireland",Great experience,"Worked shifts, 3 days on 8-8. 4 days off. The company offers great benefits while you are employed, such as pension, healthcare, dental and public holidays off. In general, the work isn't overwhelming and very enjoyable. Nice coworkers and I never had a problem with management. All who I spoke with were kind and respectful. I really appreciate my time there and I would definitely recommend applying here if you are willing to work in all areas of production as you could be put in any section.",,,,,,,
2025년 1월 17일,5,Executive Chef (현 직원),"Los Angeles, CA",Very fun and interesting,"I love working here as I'm now the executive chief and it's been a pleasure doing business with all Apple companies, hope to see more in the future with the industry",,,,,,,
2025년 1월 17일,5,Software Engineer Intern (전 직원),"Austin, TX",Productive and fun workplace,"Apple's Austin location at Parmer Lane has grown into a vibrant tech hub, offering a more relaxed atmosphere than its California headquarters while maintaining the company's innovative spirit. The expansive Texas campus features modern buildings surrounded by native landscaping and walking trails, perfect for outdoor meetings or unwinding during breaks in the Texas sunshine.
The workplace culture blends Apple's commitment to excellence with Austin's famous laid-back vibe. Teams collaborate in bright, open spaces designed to foster creativity while maintaining focus. The campus includes popular amenities like a full-service cafeteria serving local Austin-inspired cuisine, fitness facilities, and gathering spaces where employees can connect.
Regular social events and team activities take advantage of Austin's unique culture, from food truck gatherings to live music events that reflect the city's status as the Live Music Capital of the World. The location's continued growth and investment demonstrate Apple's commitment to the Austin tech community, creating an environment where employees can develop their careers while enjoying the city's distinctive lifestyle.",,,,,,,
2025년 1월 17일,5,Technical Specialist (전 직원),Lieusaint (77),Bonne expérience,"Appel à été ma plus belle expérience, l’équipe est vraiment top et ce n’est pas une entreprise comme une autre.
Il y’a toujours des choses à redire mais c’est vrai que c’est une entreprise avec des valeurs.
Dommage que certaines personnes de la leadership arrivent à gâcher les espoirs des personnes qui sont sincères dans leur travail.",,,,,,,
2025년 1월 16일,5,Customer Service Representative (전 직원),Remote,Cool,"Working as a customer support specialist at Apple has been a fantastic experience. The company truly values its employees and provides all the resources needed to succeed. The training is thorough, and you're always encouraged to ask questions and grow.

The team culture is inclusive and collaborative, making it easy to get support from coworkers or managers when needed. There’s also a big emphasis on innovation, even in customer support roles, where you’re empowered to find creative solutions for customers.",,,,,,,
2025년 1월 15일,5,Product Specialist (전 직원),"Broomfield, CO",Fun and Engaging,"Fast paced, but relatively low pressure. Being efficient is needed, but getting the right product is most important. Excellent support structure is in place and overall very enjoyable.",,,,,,,
2025년 1월 15일,5,Technical Writer/Editor (전 직원),"Austin, TX",Great Company to work for,Apple really knows how to take care of its employees. Great benefits and work environment. Fast paced work most of the time. Always learning something new. More than adequate training.,,,,,,,
2025년 1월 14일,5,Genius (전 직원),"Paramus, NJ",Amazing,Best team I ever worked with. The store atmosphere started to get less Apple and more Retail in my later years but it was the best first job I could ask for.,,,,,,,
2025년 1월 13일,1,Operations Specialist (전 직원),"Jacksonville, FL",Just a Job,"Just a job, nothing more nothing less. Environment as i know it is extremely toxic & there is only room for advancement if you kiss up and play the numbers game.",,,,,,,
2025년 1월 13일,4,Technical Specialist (전 직원),New York State,Good foot in the door,"Working with the public is the hardest part of the job. If you can navigate that well, it would be a great environment to get your foot into the IT world.",,,,,,,
2025년 1월 10일,5,Senior Advisor (전 직원),"Elk Grove, CA",Great Job,"If you do your job correctly and show up, you'll do great here. Management works with you to make sure you can get time off or to improve. It is a very competitive atmosphere for growth.",,,,,,,
2025년 1월 10일,5,Specialist (현 직원),"University Park, TX","Fast pace, very productive a lot of room to grow a lot of support.","Too competitive To move up, not enough positions, open up for chances to move up in the company.
The interviews are also stupid and challenging for no reason",,,,,,,
2025년 1월 7일,5,Great company (현 직원),Texas,Great products and people,"Apple has a great company culture. You get to
Build and distribute the products that people use and care about the most. A tech OG you can still build a great career here.",,,,,,,
2025년 1월 7일,5,Project Manager (전 직원),Remote,Excellent,"1. Innovative Environment
Apple's culture of innovation is truly inspiring. As a project manager, I am constantly engaged in groundbreaking projects that push the boundaries of technology. The opportunity to contribute to products that have a global impact is both challenging and fulfilling.

2. Collaborative Team Culture
The team environment at Apple is unparalleled. Collaboration across departments is seamless, and I’ve had the chance to work with some of the brightest minds in the industry. This fosters a culture of shared success and continuous learning.

3. Professional Growth
Apple places a strong emphasis on professional development. I’ve been provided with numerous opportunities to enhance my skills through training programs, workshops, and mentorship. The support for career growth is outstanding.

4. Cutting-Edge Resources
As a project manager, having access to cutting-edge tools and resources is crucial. Apple ensures that project managers are equipped with the latest technology and tools to streamline project execution and deliver high-quality results.

5. Inclusive and Supportive Culture
Apple’s commitment to diversity and inclusion is evident in every aspect of the workplace. The supportive culture makes it easy to bring my authentic self to work, which enhances both my personal satisfaction and professional performance.

Overall, being a Project Manager at Apple is a dream come true. The combination of innovation, collaboration, growth opportunities, and a supportive culture makes it an exceptional place to build a career. I highly recommend Apple to anyone looking - 
더보기",,,,,,,
2025년 1월 7일,4,Genius Admin | Back of House | Visuals Team-Member | Specialist (전 직원),"Salt Lake City, UT",Feedback,People in the company are generally receptive to open discussions around feedback and development. Hardest part of the job was dealing with the customers.,,,,,,,
2025년 1월 6일,5,Mechatronics Engineer (전 직원),California,Summary,Long hours with little instruction on how to preform given task or outline of expectations. Co-workers were easy to work with. I learned problem solving and communication skills while in role.,Great Benefits,Long hours and lots of ambiguity in role and role expectations.,,,,,
2025년 1월 6일,5,Technician (전 직원),Los angeles,Fun,Good atmosphere very high salary with a lot of profits Supervisors are nice and kind to all workers. The enviroment to work is very confortable big plus,,,,,,,
2025년 1월 6일,3,Especialista (현 직원),"Madrid, Madrid provincia",Buen ambiente por lo general,"Buen ambiente por lo general, un poco sectario, todos son super majos y no se pisan entre ellos, pero se notan los favoritismos muchas veces entre compañeros, no recomiendo entrar como temporal, pero si como indefinido, tiene buenas ventajas, como descuentos y esas cosillas",,,,,,,
2025년 1월 6일,4,Product Specialist (현 직원),"Markham, ON",Better than most retail,"Great workplace compared to most out there. Most people were friendly and sociable, customers were nice, respectful managers and the job was fun working with Apple products. Low pressure selling, focused on customers rating more than hitting certain numbers.

Training was lacking especially if you’re not familiar with Apple products. 2 weeks training focused on company’s values and general customer service standards but didn’t provide practical training on using check out system, company policies and procedures for signing up customers for phone plans. Therefore, it took some time for self learning but managers were usually willing to help and forgiving of the mistakes. After getting familiar with the operations and product knowledge, you were expected to hit targets like regular retail stores. Overall, enjoyable low pressure place to work.","Pay, discount, clean organized workplace, good people, frequent breaks","Favoritism, unequal opportunities for promotion",,,,,
2025년 1월 6일,3,Planner (전 직원),Chinatown,High expectation,"Results driven, fast paced, attention to detail, focus is key. Fast learning. Smart people. Matrix Organization. Network matters. Results results, results. Deliver is key.","Work from home, pay, opportunities",Schedule,,,,,
2025년 1월 6일,3,Planner (전 직원),Chinatown,High expectation,"Results driven, fast paced, attention to detail, focus is key. Fast learning. Smart people. Matrix Organization. Network matters. Results results, results. Deliver is key.",,,,,,,
2025년 1월 6일,5,Specialist (전 직원),"Leeds, West Yorkshire",Fun place to work; Very cliquey,Loved most of my time at Apple. I learned a lot about myself and how to be a better salesperson. It's probably the best job I'll have in a retail setting.,,,,,,,
2025년 1월 2일,4,Specialist (현 직원),"Brighton, East Sussex",Best in retail (though that's not saying much),"Great pay, great benefits, nice colleagues, decent management, flexible working times. Only issue is the management high up - the leads you work with on the shop floor are the only ones who see you do your job. If you try to apply for a different role your success is solely measured by your review score and the interview, not feedback from leads.",,,,,,,
2024년 12월 31일,5,Na (전 직원),"Brandon, FL",na,naxcxsx. assss sstghvvvvc I spent a lot of time working there. It was a really good experience. I gained a lot of skills and product knowledge along with interactions.,,,,,,,
2024년 12월 31일,5,Technical Support Advisor (전 직원),"Elk Grove, CA",great experience and one that I would do again.,"What is the best part of working at the company?
great management
fantastic training
top of the line culture

What is the most stressful part about working at the company?
constant need to get better without recognition of how good you are

What is the work environment and culture like at the company?
inclusive, diverse, smart people

What is a typical day like for you at the company?
calls calls calls, tech support galore from the phone to the watch to the carplay.",,,,,,,
2024년 12월 30일,5,Forklift Operator (전 직원),United States,Fun and productive work.,I used to work at Apple for a year and I used the forklift. It was a fun experience. Every day was different which is what I was looking forward to working at Apple.,,,,,,,
2024년 12월 30일,5,At Home Advisor (전 직원),Remote,Good benefits and training provided,Supervisors were interested in your success. Training was provided although we often didn’t have access to new products or software early enough to adequately prepare for helping customers. Good methods for communicating with colleagues considering we were working remotely. Expectations for juggling and multitasking communication with customers grew beyond what was reasonable.,,,,,,,
2024년 12월 29일,4,Creative Pro (전 직원),"Charleston, SC","Great benefits, the best in Retail","Your career here is what you make of it. If you're motivated, a self-starter, open to feedback, and always strive to be better, you'll do really well here. Apple has amazing benefits (especially for retail). I used some of these benefits me to get me the skills to move to a job out of retail.

There are opportunities to grow. Career experiences can be huge once you've been there for awhile. Every store is a little different. Each have their own personality. For stores that are in a city of their own, it can be hard to move up, because people will get to a position they like and park.

In cities with more stores, there's more opportunities (but also more competition).

I enjoyed the people I work with. Most of my managers were too numbers driven (and that seems to be a trend since Covid). It feels less like the ""Ritz Carlton"" treatment, and more the ""sell sell sell!""

Customers have been a little more mean since Covid... But it can be incredibly rewarding when you change someone's life!",,,,,,,
2024년 12월 29일,3,Customer Service Specialist (전 직원),"Birmingham, West Midlands","Was a great company to work for but sadly not anymore, things have change a lot and is just numbers driven. Sadly not personal anymore","What is the best part of working at the company?
Some of the perks that Apple offer are the best specially for a retail company.

What is the most stressful part about working at the company?
The time keeping - numbers driven - and career development are very poor at the company!! Sadly this is going worse and worse over the years as is increasingly difficult to progress within the company.

What is the work environment and culture like at the company?
Older employees keep to themselves and is difficult to mix up with new employees, it seems they don’t want to accept new employees, focus on your work and go home! While trying to make it appear the other way!

What is a typical day like for you at the company?
Arrive “On time” have a quick meeting about the goals of the day, get on the floor and help help help- sale sale sale!",,,,,,,
2024년 12월 28일,4,Specialist (현 직원),"New York, NY",Great staff and work environment but poor managment,"Honestly, a great job that isn't too difficult with lots of benefits. The only real issue I had with my time there was the management. They began outsourcing for management and it went downhill",,,,,,,
2024년 12월 28일,3,Sales Associate (전 직원),"Delhi, NY",fine it was fun,"fine it was fun was very disappointed that when they said you learn entrepreneurship and instead of that they put the work of 3-4 people on one persons head , all the steps of stock management from ordering the stock to organizing to selling the products to keeping the cluster up to date and accessible is all done by one / two people claiming its our job , I understand it once or twice but i was doing that from a month and overtime will not be paid but inspite of all this work it is mandatory to work after the hrs to stock up everything irrespective of the time we have to finish it by the end of the day and the pressure is built to finish it even tho there are employees who could be called half an hr early in the morning it has to be done by the people who are working at night and we also have to clear all the clothes near the trial room and stock all at once i literally hated the system and the way the have managed the organization I wouldn’t recommend anybody to join it with the amount of pressure they build i worked atleast 1hr extra every night and did not get paid for it on asking the question on why am i not getting paid for the time and service i am providing to the company they replied you have to take it as experience but it was literally so overwhelming on balancing everything when they are so punctual on the entry time of the employees but dont care about the time for us to reach home I absolutely hated the experience there",,,,,,,
2024년 12월 28일,5,Partner Relations Coordinator (전 직원),"Austin, TX","Challenging, but fulfilling","Lots of cases to handle, very busy, but very fulfilling. Would most definitely recommend other people to try it out!

Pay is okay, but met some great peopl!",,,,,,,
2024년 12월 27일,4,Specialist (현 직원),"Virginia Beach, VA",Fun place,"It’s fun, everyone is very supportive! Managers are all very helpful. A great community. Depending on your position in store, most customers are pleasant.",,,,,,,
2024년 12월 25일,4,Cusomeive (전 직원),Texas,Ok,"Boss is great, very understandable, coworkers are very chill too, but the customer is not, in most cases, their altitude is relatively bad and annoying.",,,,,,,
2024년 12월 23일,5,Technical Specialist (현 직원),"Avalon, GA",Great work environment,"amazing inclusion, benefits, pay, flexibility and work environment. work can start to feel somewhat stagnant, but you have lots of opportunity to excel.",,,,,,,
2024년 12월 22일,1,Store Product Specialist (전 직원),"Oklahoma City, OK","Poor mgmt, terrible store","Management was complete garbage and there is no consistency, there are very few coworkers that actually did a good job, communication skills is poor, its hard to get another position bc either the person has to leave/die/get fired, floor managers and store manager overall show little empathy, don't demo how one should do the job, and they are terrible at receiving feedback but will talk your ear off about how you can ""improve"" at your role, I noticed in one month that we lost 5 employees that had been there for 5+ years and have nothing good to say about the store or mgmt. I would never suggest you work at the Oklahoma City store at the mall -- complete trash and waste of time. If you wanna grow and become the best, work elsewhere. Apple is trash. Culture is supposedly all about inclusion but I felt very much excluded as an introvert and neurodivergent individual, hardest job is dealing with the union vs mgmt drama, most enjoyable part was leaving! I learned to persevere in spite of the terrible job and what they don't tell you that is as a seasonal employee you get ZERO benefits!",Leaving the job and the EPP,"Mgmt, not enough pay even having more experience than most of the staff, they dont respect your availability, not great support at all",,,,,
2024년 12월 19일,3,Mac+ Senior Advisor (전 직원),Michigan,Pretty good place to work,High paced and the schedules can be bad depending on what is available. I started moved up to a Mac+ advisor before departing the company and found every call to be different so I was never bored.,"Work from home, pay, opportunities",Schedule,,,,,
2024년 12월 18일,4,Product Specialist (전 직원),"Bellevue, WA",Good place to work for the most part,"Decent place to work with good benefits and pay, most managers do actually care about employees. Job description was more of a suggestion though, you’ll be doing a lot all around the store",,,,,,,
2024년 12월 18일,4,Technical Support (전 직원),"Greenwich, CT",fun,"it was a fun place to work, learned a lot of new skills and made a lot of friends in the process. the perks were good, not sure if those are still offered",,,,,,,
2024년 12월 14일,5,Customer Service (현 직원),"Cork, County Cork",Good company to work for,Apple is a great company to work for as they do look after you in relation to the benefits you get and they also pay well. Have some sort of flexibility with work hours but might not suit college students as it is a strict amount of hours you need to follow,,,,,,,
2024년 12월 13일,5,Technician (전 직원),Florida,Fun and Supportive,This was the best job I have ever had. the team was so supportive and they made you feel like you were making a difference with the customers and development in your career.,"benefits, looks good on the resume","work life balance, favoritism, pressure from management to do well without much support",,,,,
2024년 12월 13일,5,Technician (전 직원),Florida,Fun and Supportive,This was the best job I have ever had. the team was so supportive and they made you feel like you were making a difference with the customers and development in your career.,,,,,,,
2024년 12월 12일,2,Technical Expert (전 직원),"Naperville, IL","Decent pay, no work/life balance","Culture is different at each store, but this one is toxic. Very micromanaged, if you’re not busy every second they question your dedication. Schedule is insane, can change it on you even only a few days in advance. No work life balance and they’re extremely unforgiving with being late or doing something they don’t like. Coworkers were amazing, hardworking people, but management is constantly up your bum bum.",,,,,,,
2024년 12월 12일,4,Expert (현 직원),"Las Vegas, NV","Great place to work, companies values have turned for the worse","-Straightforward workflow
-I believe I've learned how to properly build lasting relationships both internally and externally from my job
-Management is not trustworthy, little to zero intentions on helping development of team
-workplace culture has changed for the worse
-creating a workspace to feel happy consistently is hardest part of the job
-most enjoyable part of the job is the people I work with.",great benefits and pay,"micromanaging, poor communication between corporate and retail stores, unrealistic metric focuses",,,,,
2024년 12월 11일,5,Sales Specalist (현 직원),"Palm Desert, CA",Great Company,Such a fun environment to work at from the team budling exercises and the leadership and management offering genuine feedback to help you grow as an employee helps a lot!,Compenstation,None,,,,,
2024년 12월 9일,1,Sales Associate (전 직원),"Nashville, TN",Didn’t like it,Cult-like environment; low pay; rude customers; lack of transparency; difficult metrics; rigid scheduling; lack of parking; unflattering uniform; etc.,,,,,,,
2024년 12월 9일,4,AHA (전 직원),"Austin, TX",Great benefits,"Great pay, culture, and compensation. The ability to advancement was there. The only con was the workload. If you don't like talking to people then this may not be for you.",,,,,,,
2024년 12월 7일,3,Apple (현 직원),Lisboa,Boa,Dias bons e com boa gestão. Trabalho em equipa e muito esforço. Bom ambiente e boa aprendizagem. Excelente trabalho e muito enriquecedor. Trabalhar com o que se gosta e é fácil,,,,,,,
2024년 12월 6일,4,Senior Advisor (전 직원),Home based,Amazing place,"love it, great place to work. Staff is friendly and management is well organized. Not many issues. If you enjoy a fast paced environment dealing with case by case issues, this place is for you",,,,,,,
2024년 12월 6일,4,Sales Associate (전 직원),Ohio,Decent work place,"The experience with Apple was decent overall. The team was professional and responsive, but there were a few areas where things could have been smoother. The sales process felt a bit rushed at times, and I had to follow up on a couple of details that weren’t clearly communicated.

That said, they did deliver on their promises, and the product/service met my expectations. With some improvements in communication and attention to detail, I think they could provide a much better experience.

Would I recommend them? Maybe, depending on what you’re looking for.",,,,,,,
2024년 12월 5일,5,Manager (전 직원),"New York, NY",Productive fun,It was an ok place to work learned alot that I can apply in feature job and daily life. Best part of the job was all the people i worked with and people i met!,,,,,,,
2024년 12월 5일,5,Retail Specialist (전 직원),"Albany, NY",Amazing Work Culture!,"This company is incredible to work for, the teammates are fun to work with and I overall enjoyed the atmosphere! It was also a very generous discount.",,,,,,,
2024년 12월 5일,1,Expert (전 직원),Berlin,Diese Arbeit macht krank,"Was ist das Beste daran, bei diesem Unternehmen zu arbeiten?
Die Benefits sind wirklich gut. Allerdings wiegt es nicht das toxische Arbeitsumfeld auf.

Was ist am anstrengendsten an der Arbeit bei diesem Unternehmen?
Der Druck von der Führungsebene macht krank. Zu viele Kunden, zu wenig Mitarbeiter.

Wie sind Arbeitsumfeld und -kultur bei diesem Unternehmen beschaffen?
Es ist eine Fassade. Sehr heuchlerisch.

Wie sieht ein typischer Tag für Sie bei diesem Unternehmen aus?
Vier Stunden nonstop im Verkauf mehrere Kunden gleichzeitig helfen, auf einem kleinen iPhone alle administrativen Tätigkeiten durchführen. Dann 1h Pause und weitere vier Stunden das ganze weiter. Das gleiche Tag für Tag inklusive Samstags.",,,,,,,
2024년 12월 4일,4,Analyst (현 직원),"San Diego, CA",good place,"Working at Apple has been an incredibly enriching experience. The company fosters an innovative and collaborative environment where creativity thrives. Apple’s commitment to excellence is evident in everything it does, from product development to workplace culture. As an employee, I feel empowered by the resources and support available, including cutting-edge technology and professional development opportunities. The team dynamic is amazing, with highly skilled colleagues who inspire and challenge me daily.

Apple’s leadership encourages open communication and values employee feedback, which creates a sense of ownership and pride in my work. The perks, including competitive compensation, excellent health benefits, and generous time off, make it even better. The pace can be demanding, but the work is fulfilling, and the impact of our efforts is visible worldwide. Overall, being part of a company that shapes the future of technology is both exciting and rewarding. I’m proud to be part of Apple!",,,,,,,
2024년 12월 2일,4,Sr. Program Manager (Consultant) (전 직원),"Cupertino, CA",One year contract,Overall quality of employees was great. Almost everyone was helpful while I learned my way around the organization and managed various projects. Overall good work environment.,,,,,,,
2024년 12월 2일,4,Specialist (전 직원),"Toronto, OH",Specialist,"Job was a great learning opportunity but management can be kind of a hassle, team members dynamics is great to make sure flow is going smoothly with constant communication",,,,,,,
2024년 12월 1일,4,Technical Specialist (전 직원),"Virginia Beach, VA",Decent part-time gig,"Good benefits for part-timers. Complacent management.
Excellent on-boarding and training opportunities.
Employee discount doesn't make up for the low salary.",,,,,,,
2024년 12월 1일,5,Specialist (현 직원),"Birmingham, West Midlands",Great Workplace,Keeps you on your toes. Always something new happening. Product launches are the best. Free food on some days. Drinks with mates after work. It’s what you make it.,,,,,,,
2024년 12월 1일,4,Genius (현 직원),"Berkeley, CA","High expectations, lack of support, underpaid, overworked","when things are going well with customers and team members the job can feel amazing but when things are not going well the energy can shift abruptly, thus I feel like the work environment although it can be positive and productive it can also feel quite fickle and wishy washy. I love when I can help people and fix their devices because you can see how sincerely thankful and happy they can be but as an introvert it does take a lot of energy out of me. when I take my breaks I have to recharge my social batteries so I remain quiet so I can rest and recover but I sense that team members who work in other departments (i.e. sales, inventory) see it as me being distant and therefore I come across as rude and unfriendly but I honestly don't care at this point. it's definitely better than most retail jobs but use it as a stepping stone and not a long term career.","benefits, looks good on the resume","work life balance, favoritism, pressure from management to do well without much support",,,,,
2024년 11월 29일,1,Technical Support Representative (전 직원),Texas,Technical Support Representative,"This is not the place to work. You are overworked and underpaid, there is no advancement. You stay in your technical support position until you quit.",,,,,,,
2024년 11월 27일,4,Soporte Técnico (전 직원),"Monterrey, N. L.",El ambiente laboral depende de la tienda,Estuve en dos sucursales y todo bien pero habia mucha rotacion de personal. Como tecnico te pagan las comisiones pero son cumpliendo ciertas condiciones,,,,,,,
2024년 11월 27일,5,Manager (전 직원),Los angeles,Best work itw,"Very good place, enjoyable and you go to work happy, the coworkers are nice and the place of work is very friendly and confort, the directors are always disponible for help the others","Overall pay and benefits are good, generally attracts good people.",You have to play EXACTLY by their own rule book to move up the chain.,,,,,
